"plant_no","Cno","Cno_val","plant_name.x.x","genus.x.x","family.x.x","long","long_code","long_val","plant_name.y.x","genus.y.x","family.y.x","soil_nutr","soil_nutr_val","plant_name.x","genus.x","family.x","leafP","leafP_val","plant_name.x.y","genus.x.y","family.x.y","leafN","leafN_val","plant_name.y.y","genus.y.y","family.y.y","plant_name.y","genus.y","family.y"
2031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","PTERIDIUM AQUILINUM","PTERIDIUM","Polypodiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PTERIDIUM AQUILINUM","pteridium","Polypodiaceae"
2036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","BLECHNUM SPICANT","Blechnum","Polypodiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLECHNUM SPICANT","blechnum","Polypodiaceae"
2091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTRYCHIUM LUNARIA","botrychium","Ophioglossaceae"
463411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","fertile","SELAGINELLA SELAGINOIDES","SELAGINELLA","SELAGINELLACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SELAGINELLA SELAGINOIDES","selaginella","SELAGINELLACEAE"
2001001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","HUPERZIA SELAGO	","Huperzia","Lycopodiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUPERZIA SELAGO	","huperzia","Lycopodiaceae"
2002002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","LYCOPODIELLA INUNDATA	","Lycopodiella","Lycopodiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LYCOPODIELLA INUNDATA	","lycopodiella","Lycopodiaceae"
2003002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","LYCOPODIUM CLAVATUM	","Lycopodium","Lycopodiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LYCOPODIUM CLAVATUM	","lycopodium","Lycopodiaceae"
2004003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","DIPHASIASTRUM ALPINUM","DIPHASIASTRUM","Lycopodiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIPHASIASTRUM ALPINUM","diphasiastrum","Lycopodiaceae"
4001002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISOETES ECHINOSPORA	","isoetes","Isoetaceae"
5001005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EQUISETUM FLUVIATILE	","equisetum","Equisetaceae"
