"plant_no","leafP","leafP_val","plant_name.x.x","genus.x.x","family.x.x","leafN","leafN_val","plant_name.y.x","genus.y.x","family.y.x","plant_name","no_bugs","cl","clonality_state","plant_name.x.y","genus.x.y","family.x.y","dicliny","dicliny_val","plant_name.y.y","genus.y.y","family.y.y"
2001001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","HUPERZIA SELAGO	","Huperzia","Lycopodiaceae",NA,NA,NA,NA,NA
2002002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Shortly creeping and rooting at nodes","LYCOPODIELLA INUNDATA	","Lycopodiella","Lycopodiaceae",NA,NA,NA,NA,NA
2003001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Extensively creeping and rooting at nodes","LYCOPODIUM ANNOTINUM	","Lycopodium","Lycopodiaceae",NA,NA,NA,NA,NA
2003002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Extensively creeping and rooting at nodes","LYCOPODIUM CLAVATUM	","Lycopodium","Lycopodiaceae",NA,NA,NA,NA,NA
2004003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","DIPHASIASTRUM ALPINUM","DIPHASIASTRUM","Lycopodiaceae",NA,NA,NA,NA,NA
4001001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ISOETES LACUSTRIS	","Isoetes","Isoetaceae",NA,NA,NA,NA,NA
4001002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ISOETES ECHINOSPORA	","Isoetes","Isoetaceae",NA,NA,NA,NA,NA
4001010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ISOETES HISTRIX	","Isoetes","Isoetaceae",NA,NA,NA,NA,NA
5001001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","EQUISETUM HYEMALE","Equisetum","Equisetaceae",NA,NA,NA,NA,NA
5001003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","EQUISETUM VARIEGATUM	","Equisetum","Equisetaceae",NA,NA,NA,NA,NA
5001005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","EQUISETUM FLUVIATILE	","Equisetum","Equisetaceae",NA,NA,NA,NA,NA
5001006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","EQUISETUM PALUSTRE","Equisetum","Equisetaceae",NA,NA,NA,NA,NA
5001007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","EQUISETUM SYLVATICUM","Equisetum","Equisetaceae",NA,NA,NA,NA,NA
5001008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","EQUISETUM PRATENSE","Equisetum","Equisetaceae",NA,NA,NA,NA,NA
5001009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","EQUISETUM ARVENSE	","Equisetum","Equisetaceae",NA,NA,NA,NA,NA
5001010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","EQUISETUM TELMATEIA","Equisetum","Equisetaceae",NA,NA,NA,NA,NA
6001001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Clones formed by suckering from roots","OPHIOGLOSSUM LUSITANICUM","Ophioglossum","Ophioglossaceae",NA,NA,NA,NA,NA
6001002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Clones formed by suckering from roots","OPHIOGLOSSUM AZORICUM","Ophioglossum","Ophioglossaceae",NA,NA,NA,NA,NA
6001004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Clones formed by suckering from roots","OPHIOGLOSSUM VULGATUM","Ophioglossum","Ophioglossaceae",NA,NA,NA,NA,NA
7001001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","OSMUNDA REGALIS","Osmunda","Osmundaceae",NA,NA,NA,NA,NA
9005001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Detaching ramets on prothallus (Trichomanes)","ANOGRAMMA LEPTOPHYLLA","Anogramma","Adiantaceae",NA,NA,NA,NA,NA
9006001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ADIANTUM CAPILLUS-VENERIS	","Adiantum","Adiantaceae",NA,NA,NA,NA,NA
9007001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","CRYPTOGRAMMA CRISPA","Cryptogramma","Adiantaceae",NA,NA,NA,NA,NA
11001002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","HYMENOPHYLLUM WILSONII","Hymenophyllum","Hymenophyllaceae",NA,NA,NA,NA,NA
11002001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","TRICHOMANES SPECIOSUM","Trichomanes","Hymenophyllaceae",NA,NA,NA,NA,NA
12001001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","POLYPODIUM CAMBRICUM","Polypodium","Polypodiaceae",NA,NA,NA,NA,NA
12001003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","POLYPODIUM VULGARE","Polypodium","Polypodiaceae",NA,NA,NA,NA,NA
