"","species","genus","family","family.in.genus.list","output.note"
"1","Pinus Sylvestris",NA,NA,"Pinaceae","insertion based on genus"
"2","Juniperus Communis",NA,NA,"Cupressaceae","insertion based on genus"
"3","Taxus Baccata",NA,NA,"Taxaceae","insertion based on genus"
"4","Salix Lapponum",NA,NA,"Salicaceae","insertion based on genus"
"5","Populus X Canescens",NA,NA,"Salicaceae","insertion based on genus"
"6","Myrica Gale",NA,NA,"Myricaceae","insertion based on genus"
"7","Betula Nana",NA,NA,"Betulaceae","insertion based on genus"
"8","Alnus Glutinosa",NA,NA,"Betulaceae","insertion based on genus"
"10","Carpinus Betulus",NA,NA,"Betulaceae","insertion based on genus"
"11","Corylus Avellana",NA,NA,"Betulaceae","insertion based on genus"
"12","Fagus Sylvatica",NA,NA,"Fagaceae","insertion based on genus"
"13","Castanea Sativa",NA,NA,"Fagaceae","insertion based on genus"
"14","Quercus Cerris",NA,NA,"Fagaceae","insertion based on genus"
"15","Humulus Lupulus",NA,NA,"Cannabaceae","insertion based on genus"
"16","Urtica Dioica",NA,NA,"Urticaceae","insertion based on genus"
"17","Parietaria Judaica",NA,NA,"Urticaceae","insertion based on genus"
"18","Soleirolia Soleirolii",NA,NA,"Urticaceae","insertion based on genus"
"19","Thesium Humifusum",NA,NA,"Santalaceae","insertion based on family"
"20","Viscum Album",NA,NA,"Santalaceae","insertion based on genus"
"21","Aristolochia Clematitis",NA,NA,"Aristolochiaceae","insertion based on genus"
"22","Koenigia Islandica",NA,NA,"Polygonaceae","insertion based on genus"
"23","Polygonum Arenastrum",NA,NA,"Polygonaceae","insertion based on genus"
"24","Persicaria Wallichii",NA,NA,"Polygonaceae","insertion based on genus"
"25","Fallopia Japonica",NA,NA,"Polygonaceae","insertion based on genus"
"26","Oxyria Digyna",NA,NA,"Polygonaceae","insertion based on genus"
"27","Rumex Pulcher",NA,NA,"Polygonaceae","insertion based on family"
"30","Muehlenbeckia Complexa",NA,NA,"Polygonaceae","insertion based on genus"
"31","Beta Vulgaris",NA,NA,"Amaranthaceae","insertion based on genus"
"32","Chenopodium Hybridum",NA,NA,"Amaranthaceae","insertion based on genus"
"33","Atriplex Prostrata",NA,NA,"Amaranthaceae","insertion based on genus"
"34","Suaeda Vera",NA,NA,"Amaranthaceae","insertion based on genus"
"35","Salsola Kali",NA,NA,"Amaranthaceae","insertion based on genus"
"36","Carpobrotus Edulis",NA,NA,"Aizoaceae","insertion based on genus"
"37","Portulaca Oleracea",NA,NA,"Portulacaceae","insertion based on genus"
"38","Montia Fontana",NA,NA,"Montiaceae","insertion based on genus"
"39","Claytonia Perfoliata",NA,NA,"Montiaceae","insertion based on genus"
"40","Arenaria Norvegica",NA,NA,"Caryophyllaceae","insertion based on genus"
"41","Moehringia Trinervia",NA,NA,"Caryophyllaceae","insertion based on genus"
"42","Honckenya Peploides",NA,NA,"Caryophyllaceae","insertion based on genus"
